period,date,n1,n2,n3,n4,n5,n6,special
114000001,2025/1/3,6,9,15,29,30,48,23
114000002,2025/1/7,1,8,20,26,29,35,19
114000003,2025/1/10,14,29,35,36,37,49,40
114000004,2025/1/14,1,3,13,15,37,48,42
114000005,2025/1/17,11,18,32,39,44,49,46
114000006,2025/1/21,6,21,35,36,38,42,22
114000007,2025/1/24,6,22,23,30,36,37,13
114000008,2025/1/25,2,3,10,12,34,40,41
114000009,2025/1/26,7,12,16,31,40,43,34
114000010,2025/1/27,11,22,30,35,37,38,33
114000011,2025/1/28,4,8,20,26,31,34,16
114000012,2025/1/29,15,17,22,26,32,42,12
114000013,2025/1/30,5,8,27,29,30,48,35
114000014,2025/1/31,7,11,13,23,39,42,15
114000015,2025/2/1,2,9,10,18,39,40,8
114000016,2025/2/2,10,16,25,28,33,37,13
114000017,2025/2/3,7,20,29,32,33,39,47
114000018,2025/2/4,15,17,21,26,30,47,48
114000019,2025/2/5,3,6,13,32,33,41,44
114000020,2025/2/6,2,5,18,19,42,45,11
114000021,2025/2/7,14,22,25,44,46,49,16
114000022,2025/2/8,3,6,23,26,40,43,2
114000023,2025/2/9,4,6,13,14,22,25,35
114000024,2025/2/10,1,18,28,34,35,43,24
114000025,2025/2/11,7,19,25,27,34,35,12
114000026,2025/2/12,12,30,31,37,47,49,38
114000027,2025/2/14,8,11,14,29,33,45,34
114000028,2025/2/18,5,9,10,31,35,37,30
114000029,2025/2/21,2,7,27,30,38,49,6
114000030,2025/2/25,13,15,24,37,38,43,44
114000031,2025/2/28,7,19,25,26,38,39,4
114000032,2025/3/4,7,21,31,36,46,47,8
114000033,2025/3/7,5,7,26,30,40,48,8
114000034,2025/3/11,2,18,25,37,38,47,42
114000035,2025/3/14,6,7,13,17,21,23,48
114000036,2025/3/18,7,8,13,17,29,36,18
114000037,2025/3/21,13,25,29,40,46,47,22
114000038,2025/3/25,17,24,40,41,46,48,27
114000039,2025/3/28,1,7,11,15,27,30,42
114000040,2025/4/1,4,16,18,29,35,37,33
114000041,2025/4/4,7,20,29,40,43,47,28
114000042,2025/4/8,10,26,33,39,45,46,19
114000043,2025/4/11,6,10,11,17,23,32,27
114000044,2025/4/15,18,28,37,41,43,46,11
114000045,2025/4/18,2,8,15,22,29,45,9
114000046,2025/4/22,1,6,14,19,35,49,8
114000047,2025/4/25,20,21,24,25,31,35,28
114000048,2025/4/29,7,11,24,26,30,42,37
114000049,2025/5/2,2,5,39,43,45,47,26
114000050,2025/5/6,5,8,9,25,30,45,31
114000051,2025/5/9,15,27,33,42,48,49,39
114000052,2025/5/13,1,23,29,41,45,49,24
114000053,2025/5/16,13,16,22,23,34,39,14
114000054,2025/5/20,2,11,15,26,29,48,31
114000055,2025/5/23,1,7,11,24,44,48,10
114000056,2025/5/27,16,17,26,29,32,40,10
114000057,2025/5/30,3,4,13,21,38,46,2
114000058,2025/6/3,9,24,32,40,41,49,27
114000059,2025/6/6,11,13,15,39,42,46,28
114000060,2025/6/10,3,5,12,16,22,48,30
114000061,2025/6/13,1,2,10,13,20,27,49
114000062,2025/6/17,13,20,21,26,31,44,28
114000063,2025/6/20,4,20,31,40,42,48,24
114000064,2025/6/24,3,8,20,37,45,49,21
114000065,2025/6/27,4,8,9,14,21,39,37
114000066,2025/7/1,8,9,21,25,33,34,2
114000067,2025/7/4,5,13,15,18,33,37,45
114000068,2025/7/8,6,8,12,14,25,35,49
114000069,2025/7/11,15,16,26,34,48,49,46
114000070,2025/7/15,32,33,41,45,46,49,10
114000071,2025/7/18,2,25,36,37,38,46,24
114000072,2025/7/22,5,17,19,26,27,39,10
114000073,2025/7/25,2,4,23,35,41,47,6
114000074,2025/7/29,2,5,14,19,36,45,43
114000075,2025/8/1,4,14,19,28,40,41,31
114000076,2025/8/5,1,20,34,36,37,40,3
114000077,2025/8/8,11,16,17,21,24,29,34
114000078,2025/8/12,6,7,15,22,37,42,36
114000079,2025/8/15,3,5,7,15,17,47,34
114000080,2025/8/19,2,23,25,33,41,46,22
114000081,2025/8/22,23,33,38,43,45,47,36
114000082,2025/8/26,3,6,22,32,35,39,27
114000083,2025/8/29,13,20,25,27,28,32,2
114000084,2025/9/2,2,6,9,19,20,30,25
114000085,2025/9/5,10,13,14,17,19,29,40
114000086,2025/9/9,12,20,25,26,40,45,34
114000087,2025/9/12,2,3,4,11,15,41,26
114000088,2025/9/16,7,17,18,22,25,47,38
114000089,2025/9/19,14,17,26,36,38,41,8
114000090,2025/9/23,5,14,22,25,27,45,3
114000091,2025/9/26,1,2,25,29,41,49,35
114000092,2025/9/30,19,20,22,32,36,42,35
114000093,2025/10/3,4,18,36,40,41,43,29
114000094,2025/10/7,2,9,16,34,42,43,33
114000095,2025/10/10,13,16,18,22,39,42,30
114000096,2025/10/14,11,16,20,31,39,41,6
114000097,2025/10/17,3,15,16,31,32,45,42
114000098,2025/10/21,14,20,25,42,44,49,12
114000099,2025/10/24,13,22,23,33,39,40,31
