期別,開獎日期,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
112000001,2023/1/2,3,4,5,27,28,35,8
112000002,2023/1/5,4,11,15,18,25,36,5
112000003,2023/1/9,9,10,17,24,31,37,3
112000004,2023/1/12,4,8,20,22,34,36,3
112000005,2023/1/16,3,11,13,17,23,38,8
112000006,2023/1/19,3,10,14,15,25,33,8
112000007,2023/1/23,7,15,17,23,33,38,1
112000008,2023/1/26,3,11,22,23,28,36,7
112000009,2023/1/30,10,11,23,27,28,34,3
112000010,2023/2/2,9,14,15,20,35,38,5
112000011,2023/2/6,4,6,9,11,23,26,5
112000012,2023/2/9,1,2,24,27,33,37,2
112000013,2023/2/13,8,10,15,18,23,28,5
112000014,2023/2/16,5,6,18,25,32,38,1
112000015,2023/2/20,2,8,16,22,24,27,8
112000016,2023/2/23,10,19,26,30,33,34,4
112000017,2023/2/27,1,3,6,10,17,20,8
112000018,2023/3/2,3,12,18,26,27,34,4
112000019,2023/3/6,2,13,17,20,25,28,6
112000020,2023/3/9,17,25,29,35,37,38,7
112000021,2023/3/13,10,11,16,21,30,34,3
112000022,2023/3/16,3,6,16,21,22,23,1
112000023,2023/3/20,6,9,20,29,36,38,3
112000024,2023/3/23,2,10,11,12,33,36,6
112000025,2023/3/27,9,12,18,22,28,30,5
112000026,2023/3/30,1,12,17,26,33,38,5
112000027,2023/4/3,17,19,22,26,34,35,5
112000028,2023/4/6,5,8,15,21,24,26,5
112000029,2023/4/10,4,6,19,23,29,34,7
112000030,2023/4/13,4,12,24,26,28,34,7
112000031,2023/4/17,9,15,25,29,30,36,8
112000032,2023/4/20,3,15,19,32,37,38,3
112000033,2023/4/24,2,13,14,17,20,28,7
112000034,2023/4/27,7,15,25,33,36,38,7
112000035,2023/5/1,1,7,14,25,29,32,3
112000036,2023/5/4,2,5,15,22,33,36,5
112000037,2023/5/8,3,5,16,17,26,29,2
112000038,2023/5/11,7,11,13,23,25,34,3
112000039,2023/5/15,2,3,4,7,20,29,1
112000040,2023/5/18,7,12,14,24,26,31,4
112000041,2023/5/22,15,18,19,30,31,38,2
112000042,2023/5/25,6,9,12,19,20,38,2
112000043,2023/5/29,1,2,9,18,24,25,3
112000044,2023/6/1,10,18,25,29,36,37,2
112000045,2023/6/5,4,11,28,32,34,35,1
112000046,2023/6/8,3,8,12,18,35,38,3
112000047,2023/6/12,1,2,16,18,35,38,1
112000048,2023/6/15,2,24,25,26,34,36,8
112000049,2023/6/19,4,8,12,20,27,36,1
112000050,2023/6/22,1,4,7,17,24,28,8
112000051,2023/6/26,1,15,16,17,24,35,6
112000052,2023/6/29,1,8,26,27,29,36,2
112000053,2023/7/3,5,7,10,21,25,29,4
112000054,2023/7/6,7,21,25,26,30,36,4
112000055,2023/7/10,14,17,18,21,32,35,2
112000056,2023/7/13,1,18,19,20,23,29,6
112000057,2023/7/17,3,16,19,24,25,37,8
112000058,2023/7/20,5,10,17,27,34,35,5
112000059,2023/7/24,5,8,17,30,32,38,4
112000060,2023/7/27,6,7,16,25,32,33,2
112000061,2023/7/31,23,24,26,33,35,37,1
112000062,2023/8/3,17,18,21,25,27,33,4
112000063,2023/8/7,3,27,29,31,33,37,2
112000064,2023/8/10,3,11,21,29,30,38,3
112000065,2023/8/14,2,3,4,10,17,26,2
112000066,2023/8/17,4,18,21,23,28,37,6
112000067,2023/8/21,1,12,14,19,33,34,4
112000068,2023/8/24,3,10,17,21,23,38,3
112000069,2023/8/28,3,6,8,15,24,38,5
112000070,2023/8/31,4,22,23,27,30,34,7
112000071,2023/9/4,1,3,12,24,27,30,8
112000072,2023/9/7,11,15,18,20,22,33,7
112000073,2023/9/11,11,12,20,27,28,31,1
112000074,2023/9/14,2,14,24,26,28,29,7
112000075,2023/9/18,1,4,11,14,21,22,1
112000076,2023/9/21,3,7,12,13,28,34,5
112000077,2023/9/25,20,25,26,30,32,35,3
112000078,2023/9/28,9,16,17,25,29,33,7
112000079,2023/10/2,3,7,13,25,28,32,3
112000080,2023/10/5,4,15,20,25,29,30,2
112000081,2023/10/9,6,7,8,17,20,22,8
112000082,2023/10/12,8,14,20,23,27,35,8
112000083,2023/10/16,5,7,20,25,31,32,8
112000084,2023/10/19,4,7,19,22,26,28,1
112000085,2023/10/23,6,10,11,30,32,35,8
112000086,2023/10/26,27,28,30,31,36,38,8
112000087,2023/10/30,3,7,10,11,30,33,6
112000088,2023/11/2,9,15,20,28,36,37,7
112000089,2023/11/6,11,15,22,30,33,38,5
112000090,2023/11/9,3,5,8,23,24,26,5
112000091,2023/11/13,1,12,16,23,25,28,7
112000092,2023/11/16,1,4,7,28,35,37,2
112000093,2023/11/20,7,11,13,15,30,38,7
112000094,2023/11/23,6,8,13,22,25,37,7
112000095,2023/11/27,2,11,23,24,25,29,1
112000096,2023/11/30,2,13,21,28,33,35,2
112000097,2023/12/4,2,9,14,20,22,31,5
112000098,2023/12/7,4,9,16,17,18,33,1
112000099,2023/12/11,9,19,21,23,26,32,5
112000100,2023/12/14,4,16,17,19,32,35,5
112000101,2023/12/18,5,18,20,24,31,36,2
112000102,2023/12/21,3,10,13,34,37,38,4
112000103,2023/12/25,5,7,16,19,20,32,2
112000104,2023/12/28,7,8,18,20,23,31,8
113000001,2024/1/1,11,16,17,18,28,35,4
113000002,2024/1/4,2,3,6,12,24,28,5
113000003,2024/1/8,1,3,16,20,29,33,1
113000004,2024/1/11,4,10,16,17,22,34,5
113000005,2024/1/15,10,15,21,27,29,35,8
113000006,2024/1/18,2,4,6,14,31,34,3
113000007,2024/1/22,9,12,14,17,27,31,6
113000008,2024/1/25,3,10,11,17,26,29,1
113000009,2024/1/29,6,15,22,25,32,36,3
113000010,2024/2/1,4,13,21,23,25,29,7
113000011,2024/2/5,1,16,18,21,30,38,6
113000012,2024/2/8,10,15,20,24,25,34,2
113000013,2024/2/12,2,18,21,28,30,35,8
113000014,2024/2/15,2,7,17,22,32,33,4
113000015,2024/2/19,5,6,18,26,33,38,5
113000016,2024/2/22,4,13,14,17,24,25,4
113000017,2024/2/26,4,7,11,12,35,37,8
113000018,2024/2/29,1,2,11,17,24,29,4
113000019,2024/3/4,3,5,10,24,37,38,7
113000020,2024/3/7,3,11,13,17,20,27,2
113000021,2024/3/11,5,11,14,26,30,33,3
113000022,2024/3/14,2,11,12,15,21,30,6
113000023,2024/3/18,2,10,11,19,23,35,1
113000024,2024/3/21,1,8,16,17,26,38,7
113000025,2024/3/25,2,15,16,23,24,38,5
113000026,2024/3/28,2,9,15,19,24,31,4
113000027,2024/4/1,3,9,27,35,36,37,2
113000028,2024/4/4,3,14,17,22,24,33,1
113000029,2024/4/8,5,6,8,11,18,23,5
113000030,2024/4/11,11,12,14,25,30,36,3
113000031,2024/4/15,6,7,8,14,27,36,7
113000032,2024/4/18,2,16,18,21,34,37,5
113000033,2024/4/22,2,14,19,22,31,35,1
113000034,2024/4/25,3,20,31,34,36,37,7
113000035,2024/4/29,8,19,25,30,31,35,7
